compound, mp-id, spacegroup, mineral-prototype
HIO3,mp-23963,P2_12_12_1,None
HIO3,mp-556216,Pbca,Indium
SnCCl3,mp-1068389,Pm-3m,(Cubic) Perovskite
SnCCl3,mp-1068985,R3m,Indium
RbGeI3,mp-567855,P2_12_12_1,None
RbGeI3,mp-571458,Pm-3m,(Cubic) Perovskite
CsSnS3,mp-561710,P-1,None
CaZrS3,mp-7781,Pnma,Orthorhombic Perovskite
SrSiO3,mp-1017439,Pm-3m,(Cubic) Perovskite
SrSiO3,mp-18313,P-1,None
SrSiO3,mp-3978,C2/c,None
SrSiO3,mp-561547,P2_1/c,None
BaIrO3,mp-4307,C2/c,Orthorhombic Perovskite
BaIrO3,mp-542897,C2/m,Orthorhombic Perovskite
BaIrO3,mp-5660,Pm-3m,(Cubic) Perovskite
CsHgBr3,mp-1194175,C2/c,None
CsHgBr3,mp-27718,Pm-3m,(Cubic) Perovskite
LiCaH3,mp-1079935,R-3c,None
KCuF3,mp-1080828,P4/mbm,(Cubic) Perovskite
KCuF3,mp-3682,I4/mcm,(Cubic) Perovskite
KCuF3,mp-556045,I4/mcm,None
KCuF3,mp-5566,Pm-3m,(Cubic) Perovskite
KCuF3,mp-669347,I4/mcm,(Cubic) Perovskite
YCoO3,mp-1288734,P2_1/c,Orthorhombic Perovskite
YCoO3,mp-22668,Pnma,Orthorhombic Perovskite
NbSeI3,mp-541817,C2/c,None
KIO3,mp-1080058,R3c,None
KIO3,mp-1200675,R3,None
KIO3,mp-23487,P1,None
KIO3,mp-552729,R3m,None
KIO3,mp-558843,Pm-3m,(Cubic) Perovskite
CsNO3,mp-1196533,Pa-3,None
CsNO3,mp-22628,Pmmn,None
CsNO3,mp-561851,P3_1,None
NaSeO3,mp-1180453,C2/c,None
NaSeO3,mp-1197679,C2/c,None
NiBiO3,mp-1105718,P-1,Orthorhombic Perovskite
RbTiBr3,mp-569807,P6_3/mmc,None
CoSiO3,mp-699575,Pbca,None
BaCrO3,mp-19271,P6_3/mmc,(Cubic) Perovskite
BaCrO3,mp-540926,P6_3/mmc,(Cubic) Perovskite
BaCrO3,mp-557081,P6_3/mmc,(Cubic) Perovskite
NaNbO3,mp-1078295,R-3,Ilmenite
NaNbO3,mp-1105765,Pnma,Orthorhombic Perovskite
NaNbO3,mp-1190015,Pmn2_1,Orthorhombic Perovskite
NaNbO3,mp-1194823,Pnma,None
NaNbO3,mp-1195803,Pnma,Orthorhombic Perovskite
NaNbO3,mp-1198142,Pmmn,Orthorhombic Perovskite
NaNbO3,mp-1199037,P222_1,(Cubic) Perovskite
NaNbO3,mp-1199593,Pmmn,Orthorhombic Perovskite
NaNbO3,mp-1203293,Pnma,Orthorhombic Perovskite
NaNbO3,mp-3136,Pm-3m,(Cubic) Perovskite
NaNbO3,mp-3671,Pbcm,Orthorhombic Perovskite
NaNbO3,mp-4419,P4/mbm,None
NaNbO3,mp-4514,R3c,Ilmenite
NaNbO3,mp-4681,Pmc2_1,Orthorhombic Perovskite
